prune-prop,n-mip-trees,mip-prune-test-fidelity,random-prune-test-fidelity,greedy-prune-test-fidelity,mip-prune-train-fidelity,random-prune-train-fidelity,greedy-prune-train-fidelity
0.1,6.6,0.853,0.85,0.853,1.0,0.9789999999999999,0.98275
0.2,6.6,0.853,0.837,0.853,1.0,0.97875,0.98275
0.3,6.6,0.853,0.8379999999999999,0.853,1.0,0.9807499999999999,0.98275
0.4,6.6,0.853,0.836,0.853,1.0,0.976,0.98275
0.5,6.6,0.853,0.85,0.853,1.0,0.98125,0.98275
0.6,6.6,0.853,0.8470000000000001,0.853,1.0,0.9775,0.98275
0.7,6.6,0.853,0.85,0.853,1.0,0.9785,0.98275
0.8,6.6,0.853,0.857,0.853,1.0,0.9772500000000001,0.98275
0.9,6.6,0.853,0.843,0.853,1.0,0.9800000000000001,0.98275
1.0,6.6,0.853,0.85,0.853,1.0,0.97425,0.98275
